class;max_force;average_force;force_time0;force_time1;force_time2;force_time3;force_time4;average_speed;speed_time0;speed_time1;speed_time2;speed_time3;speed_time4;distance_time0;distance_time1;distance_time2;distance_time3;distance_time4
1;88,40854;24,833083;0,403939;0,427483;76,434259;49,65483;57,712766;0,022793;0,025723;0,024983;0,027374;0,032994;0,024401;0,007987;0,020517;0,031744;0,044838;0,057893
1;58,478833;18,384884;0,336556;0,458373;10,869593;45,794262;41,313418;0,022749;0,026217;0,024446;0,025339;0,034955;0,02348;0,007959;0,020481;0,033054;0,044894;0,057825
1;56,464398;17,764955;0,71017;0,660268;11,480509;49,811045;38,345379;0,022722;0,02633;0,024651;0,025148;0,032183;0,023708;0,007955;0,020489;0,033024;0,044741;0,057918
1;56,218479;17,667077;0,427173;0,4596;11,938795;52,397765;36,722742;0,022717;0,026219;0,024634;0,025382;0,03207;0,023445;0,007982;0,020471;0,033024;0,044704;0,05795
1;56,096603;17,460025;0,866074;0,837883;11,420841;53,449694;35,685902;0,022711;0,025855;0,024747;0,025146;0,031533;0,023646;0,007962;0,020454;0,032996;0,044692;0,057941
1;55,877596;17,36281;0,553224;0,553372;11,753877;54,044717;35,168535;0,022713;0,026206;0,024769;0,024962;0,031503;0,023862;0,00796;0,020494;0,033002;0,0447;0,057954
1;56,437063;17,383158;0,262856;0,14882;12,045658;54,669564;34,762346;0,022719;0,025992;0,024706;0,024849;0,031393;0,023796;0,007961;0,020487;0,033003;0,044696;0,057954
1;57,051528;17,909307;0,672284;0,275571;11,966801;54,571829;34,833081;0,022717;0,026039;0,024803;0,024913;0,031241;0,023751;0,007974;0,020467;0,032969;0,044714;0,057966
1;57,766831;17,885903;0,627518;0,554144;11,97196;56,732674;34,294657;0,022725;0,02568;0,024425;0,025206;0,031142;0,023983;0,007952;0,020484;0,032989;0,04465;0,05798
1;59,596784;17,626485;0,598219;0,604462;11,132207;59,315328;31,611222;0,0227;0,026059;0,024737;0,025356;0,030594;0,023853;0,00797;0,020471;0,033022;0,044597;0,058037
1;68,552867;21,470285;0,330917;0,314173;5,685989;66,661915;52,268121;0,022784;0,026345;0,02472;0,024896;0,028626;0,024948;0,008004;0,020501;0,032979;0,044484;0,058055
1;66,289212;19,131901;0,566554;0,326701;6,702026;66,289212;38,71035;0,022801;0,026053;0,025042;0,025111;0,030502;0,022959;0,007958;0,020494;0,032995;0,04449;0,058031
